,precision,recall,f1-score,support
0,0.8820907617504052,0.8708,0.8764090177133655,5000.0
1,0.8724328593996841,0.8836,0.8779809220985691,5000.0
accuracy,0.8772,0.8772,0.8772,0.8772
macro avg,0.8772618105750447,0.8772,0.8771949699059673,10000.0
weighted avg,0.8772618105750447,0.8772,0.8771949699059675,10000.0
